ref#,propertyName,state,county,city,address,listedDate,areaSignificance,geometry,longitude,latitude,fipsBlock,fipsTract,riskIndexRef#,fipsStateCounty,cfldEvents,cfldFreq,cfldRisk,cfldRiskRating,rfldEvents,rfldFreq,rfldRisk,rfldRiskRating
87001437,Tumacacori Museum,ARIZONA,Santa Cruz,Tumacacori,Tumacacori National Monument,FALSE,5/28/1987,ARCHITECTURE,POINT (-111.0510474449999 31.56783440200007),31.5678344,-111.0510474,40239661013042,4023966101,T04023966101,4023,,,Not Applicable,65,2.708333333,30.14970762,Relatively High
87002462,Atascosa Lookout House,ARIZONA,Santa Cruz,Tubac,Coronado National Forest,FALSE,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.14689994 31.42585380600008),31.42585381,-111.1468999,40239661051009,4023966105,T04023966105,4023,,,Not Applicable,65,2.708333333,26.58111011,Relatively High
87002457,Moqui Lookout Cabin,ARIZONA,Coconino,Blue Ridge,Coconino National Forest,FALSE,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.166550327 34.56438432100003),34.56438432,-111.1665503,40050015004412,4005001500,T04005001500,4005,,,Not Applicable,166,6.916666666,26.2468857,Relatively High
87002493,Diamond Point Lookout Cabin,ARIZONA,Gila,Tonto Village,Tonto National Forest,FALSE,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.1927834429999 34.28748553000003),34.28748553,-111.1927834,40070004003004,4007000400,T04007000400,4007,,,Not Applicable,109,4.541666666,25.83206917,Relatively High
10000947,Chapel of the Holy Cross,ARIZONA,Coconino,Sedona,780 Chapel Rd,FALSE,10/6/2011,ARCHITECTURE,POINT (-111.7764 34.83279999900003),34.8328,-111.7764,40050016001034,4005001600,T04005001600,4005,,,Not Applicable,166,6.916666666,25.34804325,Relatively High
87002480,Kendrick Lookout Cabin,ARIZONA,Coconino,Pumpkin Center,Kaibab National Forest,FALSE,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.846758227 35.40827627000004),35.40827627,-111.8467582,40050022004832,4005002200,T04005002200,4005,,,Not Applicable,166,6.916666666,25.26882877,Relatively High
87002481,Volunteer Lookout Cabin,ARIZONA,Coconino,Bellemont,Kaibab National Forest,FALSE,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.8955418 35.21794429500005),35.2179443,-111.8955418,40050022001070,4005002200,T04005002200,4005,,,Not Applicable,166,6.916666666,25.26882877,Relatively High
82001633,Fourth Avenue Junior High School,ARIZONA,Yuma,Yuma,450 S. 4th Ave.,FALSE,12/7/1982,ARCHITECTURE,POINT (-114.625098773 32.71871574200003),32.71871574,-114.6250988,40270002002012,4027000200,T04027000200,4027,,,Not Applicable,24,1,23.84927212,Relatively High
82001652,Pauley Apartments,ARIZONA,Yuma,Yuma,490 W. 1st St.,FALSE,12/7/1982,ARCHITECTURE,POINT (-114.6255166609999 32.72508102100005),32.72508102,-114.6255167,40270002001022,4027000200,T04027000200,4027,,,Not Applicable,24,1,23.84927212,Relatively High
82001655,Roosevelt School,ARIZONA,Yuma,Yuma,201 6th St.,FALSE,12/7/1982,ARCHITECTURE,POINT (-114.626391353 32.71824427800004),32.71824428,-114.6263914,40270002002012,4027000200,T04027000200,4027,,,Not Applicable,24,1,23.84927212,Relatively High
82001658,"Smith, J. Homer, House",ARIZONA,Yuma,Yuma,600 5th Ave.,FALSE,12/7/1982,ARCHITECTURE,POINT (-114.6255448379999 32.71597385100006),32.71597385,-114.6255448,40270002002028,4027000200,T04027000200,4027,,,Not Applicable,24,1,23.84927212,Relatively High
74000334,El Tovar Hotel,ARIZONA,Coconino,Grand Canyon,"Grand Canyon National Park, Rte. 8A",FALSE,9/6/1974,COMMERCE; ENTERTAINMENT/RECREATION; ARCHITECTURE,POINT (-112.137723051 36.05749600100006),36.057496,-112.1377231,40050023005004,4005002300,T04005002300,4005,,,Not Applicable,166,6.916666666,21.83218007,Relatively High
87001412,Grand Canyon Park Operations Building,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,FALSE,5/28/1987,ARCHITECTURE,POINT (-112.137631859 36.05501761300008),36.05501761,-112.1376319,40050023005069,4005002300,T04005002300,4005,,,Not Applicable,166,6.916666666,21.83218007,Relatively High
87001411,Grand Canyon Power House,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,FALSE,5/28/1987,ARCHITECTURE,POINT (-112.14069438 36.05566467500006),36.05566468,-112.1406944,40050023005063,4005002300,T04005002300,4005,,,Not Applicable,166,6.916666666,21.83218007,Relatively High
74000337,Grand Canyon Railroad Station,ARIZONA,Coconino,Grand Canyon,Grand Canyon National Park Rte. 8A,FALSE,9/6/1974,TRANSPORTATION; ENTERTAINMENT/RECREATION; ARCHITECTURE,POINT (-112.1370699129999 36.05608676900005),36.05608677,-112.1370699,40050023005026,4005002300,T04005002300,4005,,,Not Applicable,166,6.916666666,21.83218007,Relatively High
87002463,Barfoot Lookout Complex,ARIZONA,Cochise,Portal,Buena Vista Peak,FALSE,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-109.273741516 31.91646344400004),31.91646344,-109.2737415,40030005001035,4003000500,T04003000500,4003,,,Not Applicable,151,6.291666666,21.60518132,Relatively High
87002468,Monte Vista Lookout Cabin,ARIZONA,Cochise,Elfrida,Monte Vista Peak,FALSE,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-109.3153255619999 31.82519513600005),31.82519514,-109.3153256,40030005001056,4003000500,T04003000500,4003,,,Not Applicable,151,6.291666666,21.60518132,Relatively High
87002469,Silver Peak Lookout Complex,ARIZONA,Cochise,Portal,Coronado National Forest,FALSE,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-109.199397226 31.90568970000004),31.9056897,-109.1993972,40030005001017,4003000500,T04003000500,4003,,,Not Applicable,151,6.291666666,21.60518132,Relatively High
2000419,Wigwam Village #6,ARIZONA,Navajo,Holbrook,811 W. Hopi Dr.,FALSE,5/2/2002,TRANSPORTATION; ARCHITECTURE,POINT (-110.168942406 34.90226355800007),34.90226356,-110.1689424,40179602002053,4017960200,T04017960200,4017,,,Not Applicable,90,3.75,21.29538468,Relatively High
97000592,USDA Tucson Plant Materials Center,ARIZONA,Pima,Tucson,3241 N. Romero Rd.,FALSE,7/2/1997,AGRICULTURE; ARCHITECTURE; CONSERVATION,POINT (-111.003941006 32.26632944100004),32.26632944,-111.003941,40190045043000,4019004504,T04019004504,4019,,,Not Applicable,304,12.66666667,20.71563432,Relatively High
82002090,"Smith, Professor George E. P., House",ARIZONA,Pima,Tucson,1195 E. Speedway,FALSE,6/3/1982,SCIENCE; ARCHITECTURE,POINT (-110.953944867 32.23618878900004),32.23618879,-110.9539449,40190005006005,4019000500,T04019000500,4019,,,Not Applicable,304,12.66666667,20.69929523,Relatively High
72000203,Confederate State Capitol,ARKANSAS,Hempstead,Washington,Main St.,FALSE,5/19/1972,ARCHITECTURE; POLITICS/GOVERNMENT,POINT (-93.67823613299998 33.77872637000007),33.77872637,-93.67823613,50574801002201,5057480100,T05057480100,5057,,,Not Applicable,31,1.291666666,29.68594124,Relatively High
75000387,Goodlett Gin,ARKANSAS,Hempstead,Washington,799 Franklin St.,FALSE,1/17/1975,COMMERCE; ARCHITECTURE,POINT (-93.67811826699995 33.78021515400008),33.78021515,-93.67811827,50574801002131,5057480100,T05057480100,5057,,,Not Applicable,31,1.291666666,29.68594124,Relatively High
78000598,Ferguson House,ARKANSAS,Jefferson,Pine Bluff,902 E. 4th Ave.,FALSE,1/18/1978,ARCHITECTURE; SOCIAL HISTORY,POINT (-92.01193670599997 34.22590663400007),34.22590663,-92.01193671,50690012002012,5069001200,T05069001200,5069,,,Not Applicable,59,2.458333333,28.41207772,Relatively High
75000379,Sims Hotel,ARKANSAS,Conway,Plummerville,Center of Plummerville,FALSE,8/28/1975,COMMERCE; ARCHITECTURE,POINT (-92.64266741899996 35.15803538600005),35.15803539,-92.64266742,50299505001096,5029950500,T05029950500,5029,,,Not Applicable,45,1.875,23.46539441,Relatively High
76000399,"Burns, Bob, House",ARKANSAS,Crawford,Van Buren,821 Jefferson St.,FALSE,4/30/1976,ENTERTAINMENT/RECREATION; INVENTION,POINT (-94.35065969999994 35.43605013700005),35.43605014,-94.3506597,50330205023049,5033020502,T05033020502,5033,,,Not Applicable,78,3.25,22.81252027,Relatively High
3001044,Centennial Baptist Church,ARKANSAS,Phillips,Helena,York and Columbia Streets,FALSE,7/31/2003,RELIGION; ARCHITECTURE; BLACK,POINT (-90.59083519199999 34.52560399600003),34.525604,-90.59083519,51074804003026,5107480400,T05107480400,5107,,,Not Applicable,14,0.583333333,20.60992472,Relatively High
84000007,Huddleston Store and McKinzie Store,ARKANSAS,Montgomery,Pine Ridge,AR 88,FALSE,10/4/1984,COMMERCE; ENTERTAINMENT/RECREATION,POINT (-93.90511906799998 34.58335851600003),34.58335852,-93.90511907,50979531001029,5097953100,T05097953100,5097,,,Not Applicable,39,1.625,20.42877581,Relatively High
70000151,Petaluma Adobe,CALIFORNIA,Sonoma,Petaluma,4 mi. E of Petaluma on Casa Grande Rd.,FALSE,4/15/1970,AGRICULTURE; EXPLORATION/SETTLEMENT; ARCHITECTURE,POINT (-122.5846258179999 38.25571200600007),38.25571201,-122.5846258,60971506122022,6097150612,T06097150612,6097,1.512,3.244089755,Very Low,66,2.75,26.93123829,Relatively High
86001902,Buena Vista Vineyards-Buena Vista Vinicultural Society,CALIFORNIA,Sonoma,Sonoma,18000 Old Winery Rd.,FALSE,7/24/1986,INDUSTRY; COMMERCE; AGRICULTURE; ARCHITECTURE,POINT (-122.42424764 38.29944139500003),38.2994414,-122.4242476,60971502023006,6097150202,T06097150202,6097,0.002,0.4215000239,Very Low,66,2.75,20.2365648,Relatively High
79000547,Madulce Guard Station and Site,CALIFORNIA,Santa Barbara,Santa Barbara,40 mi. N. of Santa Barbara,FALSE,12/11/1979,ARCHITECTURE,POINT (-119.5793218269999 34.70309793000007),34.70309793,-119.5793218,60830018001256,6083001800,T06083001800,6083,0.002,0.4189130393,Very Low,43,1.791666666,23.10894826,Relatively High
80000820,Round Valley Flour Mills,CALIFORNIA,Mendocino,Covelo,Main and Greely Sts.,FALSE,11/10/1980,INDUSTRY; HISTORIC - ABORIGINAL; COMMERCE; AGRICULTURE; ARCHITECTURE,POINT (-123.2502510099999 39.79294250200007),39.7929425,-123.250251,60450101003057,6045010100,T06045010100,6045,0.002,0.3178406535,Very Low,13,0.541666666,23.74236737,Relatively High
66000083,John Muir National Historic Site,CALIFORNIA,Contra Costa,Martinez,4202 Alhambra Ave.,FALSE,10/15/1966,AGRICULTURE; CONSERVATION; LITERATURE; SCIENCE; ARCHITECTURE; SOCIAL HISTORY,POINT (-122.131347813 37.99132170000007),37.9913217,-122.1313478,60133180003032,6013318000,T06013318000,6013,1.512,0.22893276,Very Low,31,1.291666666,23.05111362,Relatively High
1227,"Pratt, Charles M., House",CALIFORNIA,Ventura,Ojai,1330 Foothill Rd.,FALSE,6/14/2002,ARCHITECTURE,POINT (-119.255045987 34.42624645900003),34.42624646,-119.255046,61110009021015,6111000902,T06111000902,6111,0.002,0.1560137231,Very Low,54,2.25,30.75611592,Relatively High
66000222,Oak Grove Butterfield Stage Station,CALIFORNIA,San Diego,Oak Grove,13 mi. NW of Warner Springs on CA 79,FALSE,10/15/1966,TRANSPORTATION,POINT (-116.791234378 33.38572605300004),33.38572605,-116.7912344,60730209031228,6073020903,T06073020903,6073,0,0,No Rating,186,7.75,29.29216576,Relatively High
77000148,LeConte Memorial Lodge,CALIFORNIA,Mariposa,Curry Village,"Yosemite Valley, Yosemite National Park",FALSE,3/8/1977,CONSERVATION; EDUCATION; ARCHITECTURE,POINT (-119.579447764 37.74006742100005),37.74006742,-119.5794478,60430004001049,6043000400,T06043000400,6043,,,Not Applicable,54,2.25,24.60227977,Relatively High
87001414,Rangers' Club,CALIFORNIA,Mariposa,Yosemite National Park,Yosemite Valley,FALSE,5/28/1987,CONSERVATION; ARCHITECTURE,POINT (-119.587810935 37.74722782000003),37.74722782,-119.5878109,60430004001058,6043000400,T06043000400,6043,,,Not Applicable,54,2.25,24.60227977,Relatively High
3000471,"Maloof, Sam and Alfreda, Compound",CALIFORNIA,San Bernardino,Alta Loma,5131 Carnelian St.,FALSE,11/9/2010,ART; ARCHITECTURE,POINT (-117.615798855 34.16115800600005),34.16115801,-117.6157989,60710020112004,6071002011,T06071002011,6071,,,Not Applicable,302,12.58333333,20.92044139,Relatively High
72000281,Barratt's Chapel,DELAWARE,Kent,Frederica,N of Frederica on U.S. 113,FALSE,10/10/1972,ARCHITECTURE; RELIGION,POINT (-75.45918635999999 39.02472256000004),39.02472256,-75.45918636,100010432023024,10001043202,T10001043202,10001,4.447904493,17.54302912,Relatively Moderate,37,1.541666666,23.71663504,Relatively High
79003231,Logan School House K-834,DELAWARE,Kent,Kitts Hummock,Rte. 68,FALSE,5/22/1979,EDUCATION,POINT (-75.42983975899995 39.10034986400007),39.10034986,-75.42983976,100010432021091,10001043202,T10001043202,10001,4.447904493,17.54302912,Relatively Moderate,37,1.541666666,23.71663504,Relatively High
72000285,New Castle County Court House,DELAWARE,New Castle,New Castle,"Delaware St., between 2nd and 3rd Sts.",FALSE,11/28/1972,POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-75.56332733699998 39.65987757100004),39.65987757,-75.56332734,100030161002027,10003016100,T10003016100,10003,4.435936328,12.42368457,Relatively Moderate,173,7.208333333,20.60169413,Relatively High
91002049,Trades Hall of National Training School for Women and Girls,DISTRICT OF COLUMBIA,District of Columbia,Washington,"601 50th St., NE.",FALSE,7/17/1991,EDUCATION,POINT (-76.92972770399996 38.89621567300003),38.89621567,-76.9297277,110010078042009,11001007804,T11001007804,11001,0.002,0.4193693633,Very Low,83,3.458333333,21.51310659,Relatively High
99001635,Central Instrumentation Facility,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",FALSE,1/21/2000,ARCHITECTURE; COMMUNICATIONS; OTHER,POINT (-80.65596435699996 28.52432160800004),28.52432161,-80.65596436,120090699013203,12009069901,T12009069901,12009,2.743649809,30.64465634,Relatively High,16,0.666666666,17.73154794,Relatively Moderate
99001644,Headquarters Building,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",FALSE,12/1/2000,OTHER; ARCHITECTURE,POINT (-80.65075171999996 28.52439855800003),28.52439856,-80.65075172,120090699013204,12009069901,T12009069901,12009,2.743649809,30.64465634,Relatively High,16,0.666666666,17.73154794,Relatively Moderate
99001645,Launch Control Center,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",FALSE,1/21/2000,OTHER; COMMUNICATIONS; ARCHITECTURE,POINT (-80.64942478999996 28.58541435600006),28.58541436,-80.64942479,120090699013148,12009069901,T12009069901,12009,2.743649809,30.64465634,Relatively High,16,0.666666666,17.73154794,Relatively Moderate
99001636,Operations and Checkout Building,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",FALSE,1/21/2000,ENGINEERING; ARCHITECTURE; OTHER,POINT (-80.64615380599997 28.52402558400007),28.52402558,-80.64615381,120090699013221,12009069901,T12009069901,12009,2.743649809,30.64465634,Relatively High,16,0.666666666,17.73154794,Relatively Moderate
99001642,Vehicle Assembly Building-High Bay and Low Bay,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",FALSE,1/21/2000,OTHER; ENGINEERING,POINT (-80.65105978299994 28.58577963400006),28.58577963,-80.65105978,120090699013148,12009069901,T12009069901,12009,2.743649809,30.64465634,Relatively High,16,0.666666666,17.73154794,Relatively Moderate
72000345,"Flagler, Henry Morrison, House; Whitehall",FLORIDA,Palm Beach,Palm Beach,Whitehall Way,FALSE,12/5/1972,ARCHITECTURE; SOCIAL HISTORY,POINT (-80.04369550299998 26.71389541400004),26.71389541,-80.0436955,120990035091020,12099003509,T12099003509,12099,2.809474716,26.27714765,Relatively High,32,1.333333333,19.74938442,Relatively Moderate
72000341,Martello Gallery-Key West Art and Historical Museum,FLORIDA,Monroe,Key West,S. Roosevelt Blvd.,FALSE,6/19/1972,MILITARY; ARCHITECTURE; SOCIAL HISTORY,POINT (-81.75481696199995 24.55236555900007),24.55236556,-81.75481696,120879720003006,12087972000,T12087972000,12087,2.113458798,25.53883228,Relatively High,11,0.458333333,18.12617661,Relatively Moderate
70000844,Cathedral of St. Augustine,FLORIDA,St. Johns,St. Augustine,Cathedral St. between Charlotte and St. George Sts.,FALSE,4/15/1970,RELIGION,POINT (-81.31216114599994 29.89315316600005),29.89315317,-81.31216115,121090205002065,12109020500,T12109020500,12109,2.703729398,24.42059525,Relatively High,32,1.333333333,31.06763673,Relatively High
12000364,Constitution Obelisk,FLORIDA,St. Johns,St. Augustine,Plaza de la Constitution,FALSE,12/18/2012,POLITICS/GOVERNMENT,POINT (-81.31257317099994 29.89243019600008),29.8924302,-81.31257317,121090205002068,12109020500,T12109020500,12109,2.703729398,24.42059525,Relatively High,32,1.333333333,31.06763673,Relatively High
70000845,Gonzalez-Alvarez House,FLORIDA,St. Johns,St. Augustine,14 St. Francis St.,FALSE,4/15/1970,ARCHITECTURE,POINT (-81.30986707999995 29.88819490200007),29.8881949,-81.30986708,121090205001023,12109020500,T12109020500,12109,2.703729398,24.42059525,Relatively High,32,1.333333333,31.06763673,Relatively High
71001014,Lindsley House,FLORIDA,St. Johns,St. Augustine,214 St. George St.,FALSE,9/10/1971,ARCHITECTURE,POINT (-81.31308961499997 29.89197772000006),29.89197772,-81.31308961,121090205001010,12109020500,T12109020500,12109,2.703729398,24.42059525,Relatively High,32,1.333333333,31.06763673,Relatively High
70000846,Llambias House,FLORIDA,St. Johns,St. Augustine,31 St. Francis St.,FALSE,4/15/1970,ARCHITECTURE,POINT (-81.31069421599994 29.88774170300007),29.8877417,-81.31069422,121090205001027,12109020500,T12109020500,12109,2.703729398,24.42059525,Relatively High,32,1.333333333,31.06763673,Relatively High
71001015,Rodriguez-Avero-Sanchez House,FLORIDA,St. Johns,St. Augustine,52 St. George St.,FALSE,4/16/1971,ARCHITECTURE,POINT (-81.31341397199998 29.89630889600005),29.8963089,-81.31341397,121090205002051,12109020500,T12109020500,12109,2.703729398,24.42059525,Relatively High,32,1.333333333,31.06763673,Relatively High
71000243,"Armory, The",FLORIDA,Monroe,Key West,600 White St.,FALSE,3/11/1971,MILITARY; ARCHITECTURE,POINT (-81.79398156099995 24.56097901000004),24.56097901,-81.79398156,120879721001060,12087972100,T12087972100,12087,2.113458798,21.06132369,Relatively High,11,0.458333333,19.44467746,Relatively Moderate
72001459,Avero House,FLORIDA,St. Johns,St. Augustine,39 St. George St.,FALSE,6/13/1972,ARCHITECTURE; RELIGION,POINT (-81.31313631299997 29.97913047300005),29.97913047,-81.31313631,121090206012049,12109020601,T12109020601,12109,2.713729398,20.72793781,Relatively High,32,1.333333333,23.88169422,Relatively High
71001013,Alcazar Hotel,FLORIDA,St. Johns,St. Augustine,79 King St.,FALSE,2/24/1971,ENGINEERING; ARCHITECTURE,POINT (-81.31402147799997 29.89188524700006),29.89188525,-81.31402148,121090204002000,12109020400,T12109020400,12109,2.701729398,16.94325589,Relatively Moderate,32,1.333333333,28.20728756,Relatively High
79003132,Grace United Methodist Church,FLORIDA,St. Johns,St. Augustine,8 Carrera St.,FALSE,11/29/1979,COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE; SOCIAL HISTORY,POINT (-81.31480325199999 29.87708252600004),29.87708253,-81.31480325,121090204002022,12109020400,T12109020400,12109,2.701729398,16.94325589,Relatively Moderate,32,1.333333333,28.20728756,Relatively High
75002067,Hotel Ponce De Leon,FLORIDA,St. Johns,St. Augustine,"74 King St.,Bounded by King, Valencia, Sevilla, and Cordova Sts.;See Also:St. Augustine Historic District",FALSE,5/6/1975,ARCHITECTURE; SOCIAL HISTORY; COMMERCE; ART,POINT (-81.31485233699993 29.89260525000003),29.89260525,-81.31485234,121090204001026,12109020400,T12109020400,12109,2.701729398,16.94325589,Relatively Moderate,32,1.333333333,28.20728756,Relatively High
74000655,"Bethune, Mary McLeod, Home",FLORIDA,Volusia,Daytona Beach,Bethune-Cookman College campus,FALSE,12/2/1974,NATIVE AMERICAN; EDUCATION,POINT (-81.03187579799999 29.21264378600006),29.21264379,-81.0318758,121270820002025,12127082000,T12127082000,12127,2.70971348,16.68847281,Relatively Moderate,15,0.625,21.48214518,Relatively High
90000100,"Thurman, Howard, House",FLORIDA,Volusia,Daytona Beach,614 Whitehall St.,FALSE,2/23/1990,BLACK; EDUCATION,POINT (-81.02179049999995 29.19856558500004),29.19856559,-81.0217905,121270821003002,12127082100,T12127082100,12127,2.70771348,11.03586742,Relatively Moderate,15,0.625,28.84828097,Relatively High
72000356,St. Marks Lighthouse,FLORIDA,Wakulla,St. Marks National Wildlife Refuge,N side of Apalache Bay at terminus of FL 59,FALSE,7/31/1972,COMMERCE; MILITARY,POINT (-84.17893103399996 30.07369935800006),30.07369936,-84.17893103,121290102021125,12129010202,T12129010202,12129,2.007745316,10.52860187,Relatively Moderate,15,0.625,24.25165013,Relatively High
71000237,Lavalle House,FLORIDA,Escambia,Pensacola,203 E. Church St.,FALSE,3/11/1971,ARCHITECTURE,POINT (-87.21214697699997 30.40897493600005),30.40897494,-87.21214698,120330001001109,12033000100,T12033000100,12033,2.053617974,4.617435903,Relatively Low,39,1.625,25.80257611,Relatively High
