Ref#,Property Name,State,County,City,Street & Number,Listed Date,Area of Significance,geometry,longitude,latitude,fipsBlock,fipsTract,STCOFIPS,CFLD_AFREQ,CFLD_RISKS,CFLD_RISKR,RFLD_AFREQ,RFLD_RISKS,RFLD_RISKR
82001633,Fourth Avenue Junior High School,ARIZONA,Yuma,Yuma,450 S. 4th Ave.,12/7/1982,ARCHITECTURE,POINT (-114.625098773 32.71871574200003),-114.6250988,32.71871574,40270002002012,4027000200,4027,,,Not Applicable,1,23.84927212,Relatively High
82001652,Pauley Apartments,ARIZONA,Yuma,Yuma,490 W. 1st St.,12/7/1982,ARCHITECTURE,POINT (-114.6255166609999 32.72508102100005),-114.6255167,32.72508102,40270002001022,4027000200,4027,,,Not Applicable,1,23.84927212,Relatively High
82001655,Roosevelt School,ARIZONA,Yuma,Yuma,201 6th St.,12/7/1982,ARCHITECTURE,POINT (-114.626391353 32.71824427800004),-114.6263914,32.71824428,40270002002012,4027000200,4027,,,Not Applicable,1,23.84927212,Relatively High
82001658,"Smith, J. Homer, House",ARIZONA,Yuma,Yuma,600 5th Ave.,12/7/1982,ARCHITECTURE,POINT (-114.6255448379999 32.71597385100006),-114.6255448,32.71597385,40270002002028,4027000200,4027,,,Not Applicable,1,23.84927212,Relatively High
74000334,El Tovar Hotel,ARIZONA,Coconino,Grand Canyon,"Grand Canyon National Park, Rte. 8A",9/6/1974,COMMERCE; ENTERTAINMENT/RECREATION; ARCHITECTURE,POINT (-112.137723051 36.05749600100006),-112.1377231,36.057496,40050023005004,4005002300,4005,,,Not Applicable,6.916666666,21.83218007,Relatively High
87001412,Grand Canyon Park Operations Building,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,5/28/1987,ARCHITECTURE,POINT (-112.137631859 36.05501761300008),-112.1376319,36.05501761,40050023005069,4005002300,4005,,,Not Applicable,6.916666666,21.83218007,Relatively High
87001411,Grand Canyon Power House,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,5/28/1987,ARCHITECTURE,POINT (-112.14069438 36.05566467500006),-112.1406944,36.05566468,40050023005063,4005002300,4005,,,Not Applicable,6.916666666,21.83218007,Relatively High
74000337,Grand Canyon Railroad Station,ARIZONA,Coconino,Grand Canyon,Grand Canyon National Park Rte. 8A,9/6/1974,TRANSPORTATION; ENTERTAINMENT/RECREATION; ARCHITECTURE,POINT (-112.1370699129999 36.05608676900005),-112.1370699,36.05608677,40050023005026,4005002300,4005,,,Not Applicable,6.916666666,21.83218007,Relatively High
87002463,Barfoot Lookout Complex,ARIZONA,Cochise,Portal,Buena Vista Peak,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-109.273741516 31.91646344400004),-109.2737415,31.91646344,40030005001035,4003000500,4003,,,Not Applicable,6.291666666,21.60518132,Relatively High
87002468,Monte Vista Lookout Cabin,ARIZONA,Cochise,Elfrida,Monte Vista Peak,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-109.3153255619999 31.82519513600005),-109.3153256,31.82519514,40030005001056,4003000500,4003,,,Not Applicable,6.291666666,21.60518132,Relatively High
87002469,Silver Peak Lookout Complex,ARIZONA,Cochise,Portal,Coronado National Forest,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-109.199397226 31.90568970000004),-109.1993972,31.9056897,40030005001017,4003000500,4003,,,Not Applicable,6.291666666,21.60518132,Relatively High
2000419,Wigwam Village #6,ARIZONA,Navajo,Holbrook,811 W. Hopi Dr.,5/2/2002,TRANSPORTATION; ARCHITECTURE,POINT (-110.168942406 34.90226355800007),-110.1689424,34.90226356,40179602002053,4017960200,4017,,,Not Applicable,3.75,21.29538468,Relatively High
97000592,USDA Tucson Plant Materials Center,ARIZONA,Pima,Tucson,3241 N. Romero Rd.,7/2/1997,AGRICULTURE; ARCHITECTURE; CONSERVATION,POINT (-111.003941006 32.26632944100004),-111.003941,32.26632944,40190045043000,4019004504,4019,,,Not Applicable,12.66666667,20.71563432,Relatively High
82002090,"Smith, Professor George E. P., House",ARIZONA,Pima,Tucson,1195 E. Speedway,6/3/1982,SCIENCE; ARCHITECTURE,POINT (-110.953944867 32.23618878900004),-110.9539449,32.23618879,40190005006005,4019000500,4019,,,Not Applicable,12.66666667,20.69929523,Relatively High
72000203,Confederate State Capitol,ARKANSAS,Hempstead,Washington,Main St.,5/19/1972,ARCHITECTURE; POLITICS/GOVERNMENT,POINT (-93.67823613299998 33.77872637000007),-93.67823613,33.77872637,50574801002201,5057480100,5057,,,Not Applicable,1.291666666,29.68594124,Relatively High
75000387,Goodlett Gin,ARKANSAS,Hempstead,Washington,799 Franklin St.,1/17/1975,COMMERCE; ARCHITECTURE,POINT (-93.67811826699995 33.78021515400008),-93.67811827,33.78021515,50574801002131,5057480100,5057,,,Not Applicable,1.291666666,29.68594124,Relatively High
78000598,Ferguson House,ARKANSAS,Jefferson,Pine Bluff,902 E. 4th Ave.,1/18/1978,ARCHITECTURE; SOCIAL HISTORY,POINT (-92.01193670599997 34.22590663400007),-92.01193671,34.22590663,50690012002012,5069001200,5069,,,Not Applicable,2.458333333,28.41207772,Relatively High
75000379,Sims Hotel,ARKANSAS,Conway,Plummerville,Center of Plummerville,8/28/1975,COMMERCE; ARCHITECTURE,POINT (-92.64266741899996 35.15803538600005),-92.64266742,35.15803539,50299505001096,5029950500,5029,,,Not Applicable,1.875,23.46539441,Relatively High
76000399,"Burns, Bob, House",ARKANSAS,Crawford,Van Buren,821 Jefferson St.,4/30/1976,ENTERTAINMENT/RECREATION; INVENTION,POINT (-94.35065969999994 35.43605013700005),-94.3506597,35.43605014,50330205023049,5033020502,5033,,,Not Applicable,3.25,22.81252027,Relatively High
3001044,Centennial Baptist Church,ARKANSAS,Phillips,Helena,York and Columbia Streets,7/31/2003,RELIGION; ARCHITECTURE; BLACK,POINT (-90.59083519199999 34.52560399600003),-90.59083519,34.525604,51074804003026,5107480400,5107,,,Not Applicable,0.583333333,20.60992472,Relatively High
84000007,Huddleston Store and McKinzie Store,ARKANSAS,Montgomery,Pine Ridge,AR 88,10/4/1984,COMMERCE; ENTERTAINMENT/RECREATION,POINT (-93.90511906799998 34.58335851600003),-93.90511907,34.58335852,50979531001029,5097953100,5097,,,Not Applicable,1.625,20.42877581,Relatively High
70000151,Petaluma Adobe,CALIFORNIA,Sonoma,Petaluma,4 mi. E of Petaluma on Casa Grande Rd.,4/15/1970,AGRICULTURE; EXPLORATION/SETTLEMENT; ARCHITECTURE,POINT (-122.5846258179999 38.25571200600007),-122.5846258,38.25571201,60971506122022,6097150612,6097,1.512,3.244089755,Very Low,2.75,26.93123829,Relatively High
86001902,Buena Vista Vineyards-Buena Vista Vinicultural Society,CALIFORNIA,Sonoma,Sonoma,18000 Old Winery Rd.,7/24/1986,INDUSTRY; COMMERCE; AGRICULTURE; ARCHITECTURE,POINT (-122.42424764 38.29944139500003),-122.4242476,38.2994414,60971502023006,6097150202,6097,0.002,0.4215000239,Very Low,2.75,20.2365648,Relatively High
79000547,Madulce Guard Station and Site,CALIFORNIA,Santa Barbara,Santa Barbara,40 mi. N. of Santa Barbara,12/11/1979,ARCHITECTURE,POINT (-119.5793218269999 34.70309793000007),-119.5793218,34.70309793,60830018001256,6083001800,6083,0.002,0.4189130393,Very Low,1.791666666,23.10894826,Relatively High
80000820,Round Valley Flour Mills,CALIFORNIA,Mendocino,Covelo,Main and Greely Sts.,11/10/1980,INDUSTRY; HISTORIC - ABORIGINAL; COMMERCE; AGRICULTURE; ARCHITECTURE,POINT (-123.2502510099999 39.79294250200007),-123.250251,39.7929425,60450101003057,6045010100,6045,0.002,0.3178406535,Very Low,0.541666666,23.74236737,Relatively High
66000083,John Muir National Historic Site,CALIFORNIA,Contra Costa,Martinez,4202 Alhambra Ave.,10/15/1966,AGRICULTURE; CONSERVATION; LITERATURE; SCIENCE; ARCHITECTURE; SOCIAL HISTORY,POINT (-122.131347813 37.99132170000007),-122.1313478,37.9913217,60133180003032,6013318000,6013,1.512,0.22893276,Very Low,1.291666666,23.05111362,Relatively High
1227,"Pratt, Charles M., House",CALIFORNIA,Ventura,Ojai,1330 Foothill Rd.,6/14/2002,ARCHITECTURE,POINT (-119.255045987 34.42624645900003),-119.255046,34.42624646,61110009021015,6111000902,6111,0.002,0.1560137231,Very Low,2.25,30.75611592,Relatively High
66000222,Oak Grove Butterfield Stage Station,CALIFORNIA,San Diego,Oak Grove,13 mi. NW of Warner Springs on CA 79,10/15/1966,TRANSPORTATION,POINT (-116.791234378 33.38572605300004),-116.7912344,33.38572605,60730209031228,6073020903,6073,0,0,No Rating,7.75,29.29216576,Relatively High
77000148,LeConte Memorial Lodge,CALIFORNIA,Mariposa,Curry Village,"Yosemite Valley, Yosemite National Park",3/8/1977,CONSERVATION; EDUCATION; ARCHITECTURE,POINT (-119.579447764 37.74006742100005),-119.5794478,37.74006742,60430004001049,6043000400,6043,,,Not Applicable,2.25,24.60227977,Relatively High
87001414,Rangers' Club,CALIFORNIA,Mariposa,Yosemite National Park,Yosemite Valley,5/28/1987,CONSERVATION; ARCHITECTURE,POINT (-119.587810935 37.74722782000003),-119.5878109,37.74722782,60430004001058,6043000400,6043,,,Not Applicable,2.25,24.60227977,Relatively High
3000471,"Maloof, Sam and Alfreda, Compound",CALIFORNIA,San Bernardino,Alta Loma,5131 Carnelian St.,11/9/2010,ART; ARCHITECTURE,POINT (-117.615798855 34.16115800600005),-117.6157989,34.16115801,60710020112004,6071002011,6071,,,Not Applicable,12.58333333,20.92044139,Relatively High
72000281,Barratt's Chapel,DELAWARE,Kent,Frederica,N of Frederica on U.S. 113,10/10/1972,ARCHITECTURE; RELIGION,POINT (-75.45918635999999 39.02472256000004),-75.45918636,39.02472256,100010432023024,10001043202,10001,4.447904493,17.54302912,Relatively Moderate,1.541666666,23.71663504,Relatively High
79003231,Logan School House K-834,DELAWARE,Kent,Kitts Hummock,Rte. 68,5/22/1979,EDUCATION,POINT (-75.42983975899995 39.10034986400007),-75.42983976,39.10034986,100010432021091,10001043202,10001,4.447904493,17.54302912,Relatively Moderate,1.541666666,23.71663504,Relatively High
72000285,New Castle County Court House,DELAWARE,New Castle,New Castle,"Delaware St., between 2nd and 3rd Sts.",11/28/1972,POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-75.56332733699998 39.65987757100004),-75.56332734,39.65987757,100030161002027,10003016100,10003,4.435936328,12.42368457,Relatively Moderate,7.208333333,20.60169413,Relatively High
91002049,Trades Hall of National Training School for Women and Girls,DISTRICT OF COLUMBIA,District of Columbia,Washington,"601 50th St., NE.",7/17/1991,EDUCATION,POINT (-76.92972770399996 38.89621567300003),-76.9297277,38.89621567,110010078042009,11001007804,11001,0.002,0.4193693633,Very Low,3.458333333,21.51310659,Relatively High
99001635,Central Instrumentation Facility,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",1/21/2000,ARCHITECTURE; COMMUNICATIONS; OTHER,POINT (-80.65596435699996 28.52432160800004),-80.65596436,28.52432161,120090699013203,12009069901,12009,2.743649809,30.64465634,Relatively High,0.666666666,17.73154794,Relatively Moderate
99001644,Headquarters Building,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",12/1/2000,OTHER; ARCHITECTURE,POINT (-80.65075171999996 28.52439855800003),-80.65075172,28.52439856,120090699013204,12009069901,12009,2.743649809,30.64465634,Relatively High,0.666666666,17.73154794,Relatively Moderate
99001645,Launch Control Center,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",1/21/2000,OTHER; COMMUNICATIONS; ARCHITECTURE,POINT (-80.64942478999996 28.58541435600006),-80.64942479,28.58541436,120090699013148,12009069901,12009,2.743649809,30.64465634,Relatively High,0.666666666,17.73154794,Relatively Moderate
99001636,Operations and Checkout Building,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",1/21/2000,ENGINEERING; ARCHITECTURE; OTHER,POINT (-80.64615380599997 28.52402558400007),-80.64615381,28.52402558,120090699013221,12009069901,12009,2.743649809,30.64465634,Relatively High,0.666666666,17.73154794,Relatively Moderate
99001642,Vehicle Assembly Building-High Bay and Low Bay,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",1/21/2000,OTHER; ENGINEERING,POINT (-80.65105978299994 28.58577963400006),-80.65105978,28.58577963,120090699013148,12009069901,12009,2.743649809,30.64465634,Relatively High,0.666666666,17.73154794,Relatively Moderate
72000345,"Flagler, Henry Morrison, House; Whitehall",FLORIDA,Palm Beach,Palm Beach,Whitehall Way,12/5/1972,ARCHITECTURE; SOCIAL HISTORY,POINT (-80.04369550299998 26.71389541400004),-80.0436955,26.71389541,120990035091020,12099003509,12099,2.809474716,26.27714765,Relatively High,1.333333333,19.74938442,Relatively Moderate
72000341,Martello Gallery-Key West Art and Historical Museum,FLORIDA,Monroe,Key West,S. Roosevelt Blvd.,6/19/1972,MILITARY; ARCHITECTURE; SOCIAL HISTORY,POINT (-81.75481696199995 24.55236555900007),-81.75481696,24.55236556,120879720003006,12087972000,12087,2.113458798,25.53883228,Relatively High,0.458333333,18.12617661,Relatively Moderate
70000844,Cathedral of St. Augustine,FLORIDA,St. Johns,St. Augustine,Cathedral St. between Charlotte and St. George Sts.,4/15/1970,RELIGION,POINT (-81.31216114599994 29.89315316600005),-81.31216115,29.89315317,121090205002065,12109020500,12109,2.703729398,24.42059525,Relatively High,1.333333333,31.06763673,Relatively High
12000364,Constitution Obelisk,FLORIDA,St. Johns,St. Augustine,Plaza de la Constitution,12/18/2012,POLITICS/GOVERNMENT,POINT (-81.31257317099994 29.89243019600008),-81.31257317,29.8924302,121090205002068,12109020500,12109,2.703729398,24.42059525,Relatively High,1.333333333,31.06763673,Relatively High
70000845,Gonzalez-Alvarez House,FLORIDA,St. Johns,St. Augustine,14 St. Francis St.,4/15/1970,ARCHITECTURE,POINT (-81.30986707999995 29.88819490200007),-81.30986708,29.8881949,121090205001023,12109020500,12109,2.703729398,24.42059525,Relatively High,1.333333333,31.06763673,Relatively High
71001014,Lindsley House,FLORIDA,St. Johns,St. Augustine,214 St. George St.,9/10/1971,ARCHITECTURE,POINT (-81.31308961499997 29.89197772000006),-81.31308961,29.89197772,121090205001010,12109020500,12109,2.703729398,24.42059525,Relatively High,1.333333333,31.06763673,Relatively High
70000846,Llambias House,FLORIDA,St. Johns,St. Augustine,31 St. Francis St.,4/15/1970,ARCHITECTURE,POINT (-81.31069421599994 29.88774170300007),-81.31069422,29.8877417,121090205001027,12109020500,12109,2.703729398,24.42059525,Relatively High,1.333333333,31.06763673,Relatively High
71001015,Rodriguez-Avero-Sanchez House,FLORIDA,St. Johns,St. Augustine,52 St. George St.,4/16/1971,ARCHITECTURE,POINT (-81.31341397199998 29.89630889600005),-81.31341397,29.8963089,121090205002051,12109020500,12109,2.703729398,24.42059525,Relatively High,1.333333333,31.06763673,Relatively High
71000243,"Armory, The",FLORIDA,Monroe,Key West,600 White St.,3/11/1971,MILITARY; ARCHITECTURE,POINT (-81.79398156099995 24.56097901000004),-81.79398156,24.56097901,120879721001060,12087972100,12087,2.113458798,21.06132369,Relatively High,0.458333333,19.44467746,Relatively Moderate
72001459,Avero House,FLORIDA,St. Johns,St. Augustine,39 St. George St.,6/13/1972,ARCHITECTURE; RELIGION,POINT (-81.31313631299997 29.97913047300005),-81.31313631,29.97913047,121090206012049,12109020601,12109,2.713729398,20.72793781,Relatively High,1.333333333,23.88169422,Relatively High
71001013,Alcazar Hotel,FLORIDA,St. Johns,St. Augustine,79 King St.,2/24/1971,ENGINEERING; ARCHITECTURE,POINT (-81.31402147799997 29.89188524700006),-81.31402148,29.89188525,121090204002000,12109020400,12109,2.701729398,16.94325589,Relatively Moderate,1.333333333,28.20728756,Relatively High
79003132,Grace United Methodist Church,FLORIDA,St. Johns,St. Augustine,8 Carrera St.,11/29/1979,COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE; SOCIAL HISTORY,POINT (-81.31480325199999 29.87708252600004),-81.31480325,29.87708253,121090204002022,12109020400,12109,2.701729398,16.94325589,Relatively Moderate,1.333333333,28.20728756,Relatively High
75002067,Hotel Ponce De Leon,FLORIDA,St. Johns,St. Augustine,"74 King St.,Bounded by King, Valencia, Sevilla, and Cordova Sts.;See Also:St. Augustine Historic District",5/6/1975,ARCHITECTURE; SOCIAL HISTORY; COMMERCE; ART,POINT (-81.31485233699993 29.89260525000003),-81.31485234,29.89260525,121090204001026,12109020400,12109,2.701729398,16.94325589,Relatively Moderate,1.333333333,28.20728756,Relatively High
74000655,"Bethune, Mary McLeod, Home",FLORIDA,Volusia,Daytona Beach,Bethune-Cookman College campus,12/2/1974,NATIVE AMERICAN; EDUCATION,POINT (-81.03187579799999 29.21264378600006),-81.0318758,29.21264379,121270820002025,12127082000,12127,2.70971348,16.68847281,Relatively Moderate,0.625,21.48214518,Relatively High
90000100,"Thurman, Howard, House",FLORIDA,Volusia,Daytona Beach,614 Whitehall St.,2/23/1990,BLACK; EDUCATION,POINT (-81.02179049999995 29.19856558500004),-81.0217905,29.19856559,121270821003002,12127082100,12127,2.70771348,11.03586742,Relatively Moderate,0.625,28.84828097,Relatively High
72000356,St. Marks Lighthouse,FLORIDA,Wakulla,St. Marks National Wildlife Refuge,N side of Apalache Bay at terminus of FL 59,7/31/1972,COMMERCE; MILITARY,POINT (-84.17893103399996 30.07369935800006),-84.17893103,30.07369936,121290102021125,12129010202,12129,2.007745316,10.52860187,Relatively Moderate,0.625,24.25165013,Relatively High
71000237,Lavalle House,FLORIDA,Escambia,Pensacola,203 E. Church St.,3/11/1971,ARCHITECTURE,POINT (-87.21214697699997 30.40897493600005),-87.21214698,30.40897494,120330001001109,12033000100,12033,2.053617974,4.617435903,Relatively Low,1.625,25.80257611,Relatively High
72000315,L & N Marine Terminal Building,FLORIDA,Escambia,Pensacola,Commendencia Street Wharf,8/14/1972,COMMERCE; TRANSPORTATION; ARCHITECTURE,POINT (-87.21131173399993 30.40789339500003),-87.21131173,30.4078934,120330008001078,12033000800,12033,2.053617974,3.778710002,Relatively Low,1.625,23.12196275,Relatively High
8001243,Red Barn,FLORIDA,Glades,Okeechobee,3 mi. W of Co. Rd. 721 on Co. Rd. 721A,12/24/2008,AGRICULTURE; NATIVE AMERICAN; POLITICS/GOVERNMENT,POINT (-81.11346489599998 27.07542267100007),-81.1134649,27.07542267,120430003003030,12043000300,12043,0.002,2.820082142,Very Low,0.541666666,28.32121286,Relatively High
91002047,"Hurston, Zora Neale, House",FLORIDA,St. Lucie,Fort Pierce,1734 School Ct.,12/4/1991,BLACK; LITERATURE,POINT (-80.34346812299998 27.46096515100004),-80.34346812,27.46096515,121113803001033,12111380300,12111,0.007984082,1.1914932,Very Low,0.458333333,22.35194791,Relatively High
70000198,Bonner-Sharp-Gunn House,GEORGIA,Carroll,Carrollton,West Georgia College campus,5/13/1970,EDUCATION; ARCHITECTURE; SOCIAL HISTORY,POINT (-85.09800396599996 33.57149371300005),-85.09800397,33.57149371,130459105012027,13045910501,13045,,,Not Applicable,0.958333333,25.85981574,Relatively High
76000654,Gordon-Lee House,GEORGIA,Walker,Chickamauga,217 Cove Rd.,3/22/1976,MILITARY; ARCHITECTURE; SOCIAL HISTORY,POINT (-85.29274772899998 34.87102408800007),-85.29274773,34.87102409,132950205012051,13295020501,13295,,,Not Applicable,0.583333333,25.13291693,Relatively High
73000647,"Ross, John, House",GEORGIA,Walker,Rossville,Lake Ave. and Spring St.,11/7/1973,NATIVE AMERICAN; POLITICS/GOVERNMENT; SOCIAL HISTORY,POINT (-85.28468141299999 34.97506708300006),-85.28468141,34.97506708,132950202001029,13295020200,13295,,,Not Applicable,0.583333333,24.60455473,Relatively High
95000911,Mount Zion Baptist Church,GEORGIA,Dougherty,Albany,328 W. Whitney Ave.,8/10/1995,BLACK; SOCIAL HISTORY; ARCHITECTURE,POINT (-84.15557091599999 31.57198680900007),-84.15557092,31.57198681,130950014031020,13095001403,13095,,,Not Applicable,0.833333333,24.16676154,Relatively High
