City,State,Error,Total foreign born,Africa,"Asia (except China, Japan, and India)",Atlantic Islands,Australia,Austria,Belgium,Bohemia,Canada (English),Canada (French),Central America,China,Cuba,Denmark,England,Europe (not otherwise specified),Finland,France,Germany,Greece,Holland,Hungary,India,Ireland,Italy,Japan,Luxemburg,Mexico,Norway,Pacific Islands (except Phillipine Islands),Poland (Austrian),Poland (German),Poland (Russian),Poland (unknown),Portugal,Roumania,Russia,Scotland,South America,Spain,Sweden,Switzerland,Turkey,Wales,West Indies (except Cuba and Puerto Rico),Other countries,Born at sea
Brockton,Massachusetts,0,"9,484",2,17,2,2,8,4,,"2,199",532,11,40,2,33,778,,8,18,101,11,,1,1,"2,667",146,,1,,18,6,,1,331,4,14,1,327,172,2,1,"1,973",2,16,20,3,,9
Buffalo,New York,5,"104,252",26,62,6,31,776,22,39,"16,509",733,6,99,8,148,"6,908",3,15,791,"36,720",46,311,215,19,"11,292","5,669",1,4,8,185,8,"2,643","13,092","2,811",284,23,4,"1,199","1,868",13,20,743,590,13,153,28,36,77
Butte,Montana,55,"10,210",3,1,1,19,413,30,13,"1,518",556,,267,3,111,"1,505",3,414,105,901,9,19,18,2,"2,474",133,12,1,5,256,8,6,7,81,4,10,4,96,230,5,4,529,84,145,247,1,1,11
Cambridge,Massachusetts,50,"30,466",6,22,68,22,82,17,4,"9,613","1,483",2,101,10,130,"1,944",1,86,92,843,6,20,19,4,"11,235",277,4,,2,227,,7,14,183,17,700,1,521,799,10,34,"1,584",35,100,59,100,17,15
Camden,New Jersey,0,"10,097",6,5,1,9,69,14,12,264,20,,65,11,54,"1,965",2,11,143,"3,457",,16,30,4,"1,993",273,,,1,93,,44,428,185,4,6,14,280,289,6,9,111,111,8,42,29,2,11
Canton,Ohio,0,"4,018",1,13,,,78,9,21,103,8,,4,,50,371,,2,214,"2,153",,2,7,1,176,91,,,1,11,,4,1,28,7,,1,172,55,1,,32,372,5,21,,,3
Cedar Rapids,Iowa,0,"4,478",1,16,,2,72,,"2,164",209,47,2,,1,87,247,10,,17,560,,14,3,1,543,48,,,2,42,,2,2,12,3,,,63,127,1,,129,18,,9,,19,5
Charleston,South Carolina,55,"2,592",3,6,4,,30,4,2,39,8,7,35,6,21,144,,2,39,"1,129",38,,6,11,621,116,,,,83,2,,,60,9,5,,87,64,8,13,23,5,2,1,9,4,1
Chattanooga,Tennessee,5,994,,10,,1,12,2,,92,8,,,1,3,125,,2,28,249,,3,25,,165,2,,,1,1,,1,,18,1,,,119,56,2,2,19,23,2,18,1,5,2
Chelsen,Massachusetts,50,"11,203",,6,10,2,72,9,4,"3,931",237,4,39,,29,993,,2,20,368,,21,16,3,"2,387",132,,,,56,2,16,10,308,,32,6,"1,860",280,6,4,227,16,87,24,27,1,6
Chester,Pennsylvania,5,"5,074",1,,2,,40,,1,78,10,,28,1,15,"1,388",,8,68,445,5,2,34,1,"1,991",156,,5,4,13,4,146,9,214,,,3,66,244,,,43,14,,29,4,2,5
Chicago,Illinois,5,"587,112",90,389,86,273,"11,815","1,160","36,362","29,472","5,307",141,"1,179",87,"10,166","29,308",115,416,"2,989","170,738","1,493","18,555","4,946",97,"73,912","16,008",80,334,102,"22,011",46,"9,499","32,995","15,026","2,198",21,287,"24,178","10,347",121,138,"48,836","3,251",180,"1,818",139,91,315
Cincinnati,Ohio,0,"57,961",11,67,5,17,654,38,94,928,103,37,17,7,49,"2,201",5,1,748,"38,219",53,369,208,23,"9,114",917,1,1,18,12,1,4,89,344,34,1,4,"1,976",461,11,6,111,657,6,240,23,6,70
Cleveland,Ohio,50,"124,631",18,88,1,37,"4,630",26,"13,599","7,839",772,4,94,17,373,"10,621",12,79,485,"40,648",42,804,"9,558",10,"13,120","3,065",8,5,9,249,5,752,"3,577","4,119",144,8,39,"3,607","2,179",80,9,"1,000","1,288",41,"1,490",42,11,77
Columbus,Ohio,0,"12,328",8,19,4,13,145,5,12,434,60,2,9,2,29,"1,057",3,5,132,"6,296",14,15,34,2,"2,079",349,5,1,5,14,,,10,28,6,2,1,310,172,5,1,72,343,7,595,7,1,15
Council Bluffs,Iowa,10,"3,723",,,,4,23,4,17,208,23,,3,,"1,109",345,,,30,889,,15,10,1,386,6,,,1,79,1,,,1,8,,18,94,68,1,1,314,46,1,17,3,1,6
Covington,Kentucky,10,"5,323",,,,8,8,2,3,88,8,7,17,,2,318,,,62,"3,672",,28,2,,865,48,,,1,1,,1,,8,3,,1,32,43,,1,7,30,,55,,1,11
Dallas,Texas,10,"3,381",3,5,1,1,76,15,14,164,25,2,20,6,34,381,3,,105,"1,117",4,9,22,4,365,167,3,,41,35,,1,1,68,31,,5,255,94,8,14,113,145,11,12,6,,5
Davenport,Iowa,0,"8,479",,,1,2,61,15,62,189,22,,3,2,138,319,,,49,"6,111",4,19,13,,835,15,1,,1,36,,,4,1,,,,54,68,1,,361,71,,12,,,9
Dayton,Ohio,60,"10,053",5,11,,7,58,2,30,332,36,,15,,10,432,8,2,116,"6,820",5,9,102,2,"1,258",115,1,,2,12,,,15,40,2,,1,301,125,5,4,81,104,1,25,,2,17
Denver,Colorado,10,"25,301",7,31,2,36,379,29,89,"2,623",245,83,298,12,573,"3,344",1,34,324,"5,114",23,78,179,11,"3,485",999,20,1,19,344,12,6,13,252,15,12,22,"1,338","1,033",25,15,"3,376",364,8,380,24,16,17
Des Moines,Iowa,99,"7,946",2,44,,10,68,6,80,494,39,,3,1,240,909,,9,36,"1,482",4,66,7,6,902,195,3,2,1,296,5,,8,295,20,,47,380,234,1,1,"1,907",70,16,133,14,1,8
Detroit,Michigan,12,"96,503",7,84,8,20,471,671,612,"25,403","3,541",43,9,2,231,"6,347",8,4,589,"32,027",18,397,91,19,"6,412",905,2,3,8,75,5,"1,074","10,708","1,738",118,2,11,"1,332","2,496",18,14,267,491,7,101,39,13,74
Dubuque,Iowa,0,"6,955",1,4,,2,173,17,38,180,32,1,2,1,14,437,,,73,"3,872",,46,5,1,"1,196",18,,133,2,12,,,1,10,17,,,126,72,1,,51,362,36,7,,1,11
Duluth,Minnesota,0,"20,983",4,52,2,8,109,31,23,"5,099","1,285",,21,3,296,817,,702,43,"1,685",2,21,26,2,792,292,,2,1,"2,655",,12,484,103,331,2,1,376,512,4,7,"5,047",41,33,35,1,4,17
Enston,Pennsylvania,0,"2,135",4,,2,,14,,5,28,4,,6,1,3,292,,,25,999,2,,5,2,340,110,,2,,9,,2,1,3,,,,136,46,1,1,18,30,,41,,,3
East St. Louis,Illinois,55,"3,920",1,,,7,91,6,96,161,25,,14,1,14,300,5,4,98,"1,283",,21,36,1,"1,215",14,,2,2,4,,19,6,31,6,,,281,64,1,1,41,68,19,25,,8,4
Elizabeth,New Jersey,55,"14,770",8,2,2,7,503,10,49,196,76,2,27,1,95,"1,265",,3,108,"4,668",1,18,233,3,"3,989",636,1,,,146,,317,18,214,86,,2,"1,039",602,15,6,218,140,6,48,57,,8
Elmira,New York,50,"5,511",,1,,4,22,2,5,204,37,1,12,1,17,374,1,,84,"1,208",4,5,33,,"1,988",366,1,,1,1,1,92,176,418,22,1,4,162,115,3,1,62,40,31,50,4,1,6
Erie,Pennsylvania,0,"11,957",,13,,19,121,5,3,900,115,,6,,120,577,11,130,67,"5,226",4,9,28,,"1,468",396,,,1,22,,41,"1,013",560,11,77,,92,179,,4,591,87,2,39,2,1,17
Evansville,Indiana,0,"5,626",,,,2,24,,,69,12,,3,4,12,384,,,89,"4,380",3,20,4,,260,66,,,1,7,,,,24,11,,3,64,56,2,,11,98,,10,,1,6
Fall River,Massachusetts,60,"50,042",4,106,"1,095",12,139,10,6,"2,329","20,172",1,79,2,47,"12,268",,15,79,245,13,,4,6,"7,317",280,,,,26,1,260,8,191,83,"2,805",5,"1,095","1,045",18,3,104,6,85,102,18,6,12
Fitchburg,Massachusetts,5,"10,917",1,41,,1,20,,4,836,"4,063",,21,,19,765,,963,29,540,3,1,,1,"2,306",158,,,1,46,2,8,1,19,5,2,,85,426,,6,462,,61,21,,4,1
Fort Wayne,Indiana,55,"6,791",1,126,1,4,8,3,7,234,35,,16,1,10,242,,5,185,"4,858",5,30,6,8,490,14,,,4,5,,2,24,50,,,2,88,127,1,2,34,170,18,21,,1,8
Fort Worth,Texas,5,"1,793",,8,,3,33,7,2,118,14,1,20,1,7,225,2,2,38,466,,7,4,1,274,113,,,59,33,8,,1,16,6,1,1,104,75,1,2,99,22,9,7,4,,4
Galveston,Texas,50,"6,339",2,4,2,14,246,18,9,117,23,2,67,15,72,776,,43,285,"2,126",38,24,43,1,763,366,,,146,168,1,87,9,36,2,30,,137,119,7,57,365,70,,35,42,12,10
Gloucester,Massachusetts,55,"8,768",,28,30,,4,2,1,"4,388",800,,30,1,70,284,,653,39,76,9,18,,,665,100,1,,,177,,2,,2,5,594,,58,155,5,8,519,2,,9,3,81,4
Grand Rapids,Michigan,60,"23,896",2,1,1,2,120,22,73,"3,318",169,1,10,3,230,"1,026",6,16,66,"3,258",5,"11,187",10,7,"1,137",85,,,3,115,,87,"1,060",528,66,,,56,241,4,2,912,73,19,18,5,2,10
Harrisburg,Pennsylvania,0,"2,493",,,,2,53,1,7,57,3,,8,,2,214,1,,28,985,4,2,2,2,401,140,,,,5,,,,16,1,,5,356,61,,2,11,21,3,92,2,,6
Hartford,Connecticut,10,"23,758",4,49,8,12,664,21,13,"1,309",781,3,113,10,506,"1,634",,14,150,"2,700",6,28,95,4,"8,076","1,952",,,1,37,3,112,12,331,51,14,146,"2,260",689,7,2,"1,714",99,64,21,21,14,18
Haverhill,Massachusetts,5,"8,530",1,5,,4,61,1,4,"1,651","2,403",1,44,1,33,513,,,19,96,10,,11,2,"2,144",444,2,,1,17,,23,8,213,2,,2,574,149,,1,30,6,40,9,4,,6
Hoboken,New Jersey,0,"21,380",7,2,3,3,463,88,8,199,34,25,61,16,200,929,,22,131,"10,843",17,139,62,3,"3,807","2,360",2,1,5,437,,1,12,82,8,1,18,432,395,11,8,330,150,27,12,19,1,6
Holyoke,Massachusetts,60,"18,921",1,7,,7,155,9,8,865,"6,991",,28,3,34,"1,118",,,108,"1,602",,2,6,8,"5,650",132,,,,3,1,698,19,187,8,,,264,935,1,2,72,13,11,27,1,2,3
Honolulu,Hawaii,0,"17,435",8,1,329,91,34,8,,225,4,2,"6,842",3,48,468,,8,78,553,45,11,2,8,162,54,"5,595",,10,69,293,,,,7,"2,081",2,22,148,11,72,77,10,3,13,18,2,18
Houston,Texas,5,"4,405",1,19,,7,147,1,21,145,17,5,42,4,65,546,12,3,120,"1,621",18,8,52,3,485,352,3,,118,22,2,,28,28,4,,17,177,100,4,5,101,48,20,10,12,8,9
Indianapolis,Indiana,0,"17,122",2,36,1,10,255,4,17,589,84,2,29,,200,"1,154",2,,230,"8,632",29,53,138,,"3,765",282,1,,6,18,8,22,37,249,14,1,8,338,429,4,1,125,272,6,41,6,,22
Jackson,Michigan,100,"3,843",,,,3,12,2,,941,51,,6,1,8,658,,2,19,"1,004",1,13,1,8,687,17,,,,21,,8,8,163,2,,,10,140,,2,80,18,1,45,1,,10
Jacksonville,Florida,50,"1,166",2,23,1,1,8,,1,157,9,2,33,46,7,229,,4,23,204,14,2,8,2,85,59,,,2,6,1,,,1,,,4,84,39,5,6,40,3,,2,101,,2
Jersey City,New Jersey,10,"58,424",10,20,4,15,"1,445",144,32,907,134,19,213,26,319,"4,642",5,116,648,"17,375",20,145,136,9,"19,314","3,832",4,1,5,647,4,108,463,"1,648",915,5,51,"1,694","1,690",20,12,899,443,32,159,68,16,20
Johnstown,Pennsylvania,50,"7,318",,61,,4,923,,7,27,8,,9,,12,570,1,1,16,"1,663",8,2,"2,017",,581,381,,,,4,,205,11,110,8,,,78,75,3,,88,33,5,446,1,3,7
Joliet,Illinois,15,"8,536",1,7,1,1,"1,579",5,9,368,36,1,14,,28,712,,20,58,"1,889",6,6,153,,"1,206",321,,3,2,94,,84,102,170,11,,,128,348,1,,951,54,,164,2,8,8
Joplin,Missouri,-5,898,,,1,,17,7,10,98,13,,5,1,14,140,2,,25,314,1,1,4,1,93,15,,,4,2,,,1,1,1,,,16,34,,1,34,22,5,7,1,,2
Kansas City,Kansas,55,"6,377",,1,,5,686,55,34,316,41,,7,1,182,605,4,2,33,"1,655",,20,77,1,"1,251",6,,1,3,37,1,33,18,64,4,,,187,143,3,,811,68,1,61,2,1,12
Kansas City,Missouri,0,"18,410",4,39,1,23,375,90,62,"1,369",180,22,89,7,241,"1,863",6,22,264,"4,816",16,44,118,4,"3,507","1,034",3,,24,100,3,1,18,290,25,2,20,941,512,9,6,"1,869",233,7,109,8,7,27
Knoxville,Tennessee,0,895,,,,2,22,,2,54,11,,,3,,127,1,2,13,188,3,2,18,1,169,11,,,1,2,1,,,3,1,,3,71,26,4,,16,76,,59,2,,1
La Crosse,Wisconsin,60,"7,222",3,12,,,92,1,477,241,62,1,1,5,64,165,,,31,"3,130",,20,7,1,247,7,,15,,"2,028",,12,117,45,21,,,48,58,,,141,181,23,22,1,,3
Lancaster,Pennsylvania,5,"3,492",2,,1,1,16,3,1,24,6,2,13,1,8,135,,,26,"2,604",1,,4,,196,25,,,3,1,1,,2,20,,,,280,28,,,8,55,2,7,7,3,11
Lawrence,Massachusetts,5,"28,577",2,881,2,15,125,26,7,"1,683","6,999",5,57,1,6,"5,131",,,147,"2,465",4,1,10,2,"7,058",936,,,1,8,,227,8,172,9,181,,780,"1,198",2,,100,6,277,40,2,2,6
Lexington,Kentucky,0,924,,14,,3,7,2,1,31,5,,2,3,,88,15,,15,181,,1,5,,428,50,1,,1,,1,,,1,2,,,15,23,1,,4,16,,4,3,,1
Lincoln,Nebraska,5,"5,297",1,5,,,40,7,125,332,40,,28,1,178,474,,,57,"1,367",6,20,37,1,447,109,2,,1,83,,8,4,7,24,,1,"1,145",110,,163,427,24,,12,2,2,12
Little Rock,Arkansas,5,"2,099",,1,,,68,,1,120,43,,13,2,9,173,,,61,"1,028",,7,9,,216,40,,1,5,5,1,21,29,18,2,,1,47,33,,,50,89,,3,5,2,1
Los Angeles,California,60,"19,964",8,21,7,77,316,87,32,"2,683",214,6,"1,885",16,239,"3,017",2,10,993,"4,023",20,86,60,19,"1,720",763,152,1,817,168,35,6,9,60,32,22,10,288,573,39,99,808,370,13,156,27,4,31
Louisville,Kentucky,50,"21,427",12,65,1,20,163,31,16,365,45,45,4,1,34,830,18,2,370,"12,383",19,43,50,4,"4,198",380,2,3,8,10,,13,22,534,16,1,8,649,225,2,8,94,717,9,26,6,4,21
Lowell,Massachusetts,-2,"40,974",7,114,168,4,337,16,,"4,483","14,674",2,55,4,14,"4,446",,2,67,164,"1,203",12,13,4,"12,147",57,1,,2,71,,174,1,252,14,314,,291,"1,099",4,1,599,7,84,48,7,2,8
Lynn,Massachusetts,-95,"17,742",5,4,13,8,41,4,2,"6,009","1,280",67,55,1,19,"1,527",,1,54,261,51,8,37,8,"5,306",806,,,,42,3,25,15,211,6,6,,288,434,3,,812,13,164,24,19,,15
McKeesport,Pennsylvania,5,"9,349",,,,1,"1,249",5,,61,,2,2,,19,"1,343",,9,28,"1,769",8,4,806,,"1,003",172,,,,8,,274,105,212,20,,,210,506,2,,"1,283",49,1,198,,,5
Malden,Massachusetts,55,"9,513",,,3,2,12,11,6,"3,673",180,,22,,29,870,,5,17,318,,2,,2,"3,043",133,1,,,55,2,,2,27,1,18,2,74,287,2,1,617,12,99,16,18,1,5
Manchester,New Hampshire,0,"24,257",2,6,,3,142,18,6,"1,697","13,429",,33,5,11,999,,7,53,"1,124",12,10,2,2,"4,220",32,,,,19,,408,,12,6,4,,227,744,1,1,962,10,19,22,1,3,5
Memphis,Tennessee,5,"5,110",8,4,1,2,90,15,2,156,36,35,25,4,30,367,19,5,104,"1,508",9,13,47,2,"1,138",726,,,7,6,,2,6,66,20,2,1,321,90,2,4,110,95,8,12,8,5,4
Milwaukee,Wisconsin,46,"88,991",8,33,2,82,"1,616",37,"1,719","1,687",217,5,20,14,514,"2,134",1,20,263,"53,854",26,606,381,5,"2,658",726,,24,6,"1,702",2,627,"15,115","1,245",46,4,35,"1,135",667,19,8,659,653,66,307,7,5,77
Minneapolis,Minnesota,100,"61,021",1,63,4,15,"1,133",82,385,"5,637","1,706",1,20,3,"1,473","2,289",1,348,207,"7,335",55,96,581,10,"3,213",222,5,24,10,"11,532",9,284,215,231,67,1,417,"1,929",815,3,6,"20,085",303,23,230,6,11,35
Mobile,Alabama,15,"2,111",9,24,1,4,39,2,1,116,12,14,20,21,21,202,4,4,79,492,2,2,1,,562,43,,,25,65,,,,2,1,5,,49,74,10,37,58,38,14,8,57,,8
Montgomery,Alabama,100,666,3,,,,14,,,23,1,,11,1,,70,,1,82,248,16,1,6,,114,10,,,,4,,5,3,21,,,,19,81,,,12,2,13,1,2,,2
Nashville,Tennessee,60,"3,037",4,53,1,5,69,2,5,100,9,,17,8,9,302,21,,66,785,20,5,150,1,853,60,4,,3,6,1,1,4,87,20,,2,185,97,3,,29,81,5,12,2,2,8
Newark,New Jersey,-10,"71,368",17,18,14,21,"4,074",26,213,802,160,18,262,25,216,"5,874",6,42,646,"25,139",87,108,"1,325",7,"12,792","8,537",4,1,13,62,1,508,112,"1,153",140,3,205,"5,511","1,700",52,28,469,736,28,91,52,18,42
New Bedford,Massachusetts,-9,"25,529",3,7,136,4,102,43,110,802,"8,559",,44,1,30,"5,389",,9,78,648,2,3,10,4,"3,020",102,,,,37,,182,,155,24,"4,802",2,337,560,13,8,180,13,8,31,44,10,8
New Britain,Connecticut,100,"9,293",1,47,,,462,1,24,180,230,,12,1,16,819,,,34,"1,485",,3,7,,"1,869",175,,,,30,3,30,6,"1,117",15,,7,793,153,1,,"1,811",42,5,9,1,2,2
Newcastle,Pennsylvania,0,"5,324",,1,,,527,21,1,78,6,,7,,1,861,,106,35,431,8,2,43,,591,759,,,,,,15,4,27,5,,,127,95,1,,111,10,1,"1,447",,,3
New Haven,Connecticut,55,"30,802",,29,4,9,286,68,8,754,416,12,94,5,234,"1,912",3,18,144,"4,743",10,19,65,5,"10,491","5,262",12,,2,119,1,26,22,203,115,16,27,"3,193",761,15,8,"1,376",189,38,65,45,16,17
New Orleans,Louisiana,50,"30,325",27,60,3,30,391,77,17,310,85,133,418,270,92,"1,262",9,5,"4,428","8,733",48,47,68,15,"5,398","5,866",6,,299,95,7,1,10,29,15,50,9,439,218,28,456,170,314,107,85,187,10,48
Newport,Kentucky,0,"4,081",,,,4,45,3,,91,14,,,1,1,322,,,67,"2,576",,6,1,,632,17,,,1,1,,,,6,,,,126,55,,,5,56,,46,,1,4
Newton,Massachusetts,56,"10,068",3,6,1,7,22,2,2,"2,721",856,,47,3,33,959,,8,86,136,1,4,4,11,"4,006",459,5,,3,33,1,9,,4,2,1,,134,224,5,4,260,17,13,9,18,1,4
New York,New York,0,"1,270,080",357,925,373,484,"71,427","1,221","15,055","19,399","2,527",920,"6,080","2,011","5,621","68,836",223,"3,733","14,755","322,343","1,309","2,608","31,516",250,"275,102","145,433",311,43,282,"11,387",78,"3,995","1,881","25,231","1,766",277,"10,499","155,201","19,836",995,"1,491","28,320","8,371","1,401","1,686","3,856",218,447
Norfolk,Virginia,70,"1,705",,6,2,4,81,1,1,114,11,2,75,,10,181,8,17,22,303,24,7,4,8,275,140,1,,8,28,1,2,,4,2,12,2,252,52,2,15,25,9,24,20,19,,1
Oakland,California,10,"17,256",17,10,296,151,157,19,19,"1,544",225,12,805,3,571,"2,026",4,40,407,"2,742",16,34,128,20,"3,197",613,200,1,95,344,74,1,8,67,6,"1,020",8,108,708,55,28,994,285,5,134,30,18,21
Omaha,Nebraska,0,"23,552",10,94,3,7,504,20,"2,170","1,141",129,3,94,2,"2,430","1,526",2,8,147,"5,522",14,68,253,6,"2,164",449,2,2,5,312,2,89,352,131,23,1,17,997,574,1,2,"3,968",190,20,68,9,3,18
Oshkosh,Wisconsin,50,"7,356",,13,,1,237,17,561,413,39,,17,,395,275,,2,6,"4,500",,13,10,,238,1,,,2,54,,1,69,28,1,,,75,41,,,69,189,8,126,,,5
Passaic,New Jersey,12,"12,900",1,,,,"2,097",6,32,73,9,,21,2,25,624,2,3,45,"1,315",,"1,087","3,602",1,"1,089",797,1,,,27,1,1,8,685,22,,15,664,371,5,1,183,51,8,14,8,8,8
Paterson,New Jersey,-4,"38,791",4,28,1,14,392,527,28,385,174,15,122,17,47,"6,285",1,5,813,"6,584",8,"4,898",317,4,"6,714","4,266",,1,6,18,4,9,14,415,45,,10,"1,672","2,782",7,11,235,"1,650",104,73,6,60,16
Pawtucket,Rhode Island,49,"13,087",3,48,13,5,4,11,,542,"2,393",,20,,7,"3,675",,42,39,484,1,,,1,"3,893",187,,,,8,,17,2,2,18,15,4,63,"1,104",4,2,433,6,2,86,,,2
Peoria,Illinois,50,"8,945",1,14,1,4,115,54,55,297,43,,15,,39,601,,2,152,"4,745",,31,70,,"1,394",40,,,2,11,,2,24,69,6,,4,143,155,4,1,528,268,1,88,1,1,14
Philadelphia,Pennsylvania,60,"295,340",82,208,41,158,"5,154",378,270,"2,989",294,34,"1,122",348,934,"36,752",130,103,"2,521","71,319",176,258,"2,785",49,"98,427","17,830",19,11,63,692,24,970,"1,728","4,168",693,29,"1,086","28,951","8,479",103,107,"2,148","1,707",197,"1,033",575,78,177
Pittsburg,Pennsylvania,10,"84,878",11,545,3,31,"3,558",48,75,994,79,13,147,4,38,"8,902",7,7,578,"21,222",70,62,"2,124",8,"18,620","5,709",2,1,5,63,2,"1,023","3,515","6,243",403,,141,"4,107","2,264",8,7,"1,072",544,20,"2,539",20,10,44
Portland,Maine,5,"10,435",1,35,14,2,16,4,,"3,968",408,,26,11,356,598,,23,23,205,1,1,2,4,"3,273",148,,,1,268,,,2,208,1,15,,278,223,2,11,231,10,17,14,17,11,12
Portland,Oregon,65,"25,876",5,18,1,63,249,70,55,"1,948",261,,"6,943",1,414,"1,922",7,98,268,"4,469",6,52,63,17,"1,741",681,"1,191",5,14,850,47,8,11,154,25,4,17,984,768,17,9,"1,711",611,9,119,11,2,22
Providence,Rhode Island,0,"55,855",111,228,121,27,423,64,33,"3,882","3,850",10,238,6,109,"9,639",2,14,244,"2,257",20,42,35,12,"18,686","6,256",3,,3,228,4,40,19,670,40,"1,110",88,"1,996","1,914",19,11,"2,775",71,182,82,117,150,24
Pueblo,Colorado,65,"4,705",,7,1,7,"1,250",2,45,341,47,1,44,2,45,385,,11,58,587,1,10,90,3,415,529,8,1,19,85,,3,11,48,5,1,1,49,115,3,8,391,42,,93,,2,4
Quiney,Illinois,55,"4,961",1,,,,16,,4,94,11,1,11,,6,173,1,,36,"3,988",2,7,4,,404,81,,2,1,6,,,1,8,1,,,15,35,,1,25,62,2,6,,3,8
Racine,Wisconsin,60,"9,242",,,,5,89,5,554,175,15,,8,2,"2,815",371,,5,38,"3,069",2,46,12,,343,48,,1,,675,,5,19,41,10,1,,116,154,1,,311,47,12,302,,,5
Reading,Pennsylvania,10,"5,940",,1,,2,170,,6,54,5,,12,2,3,369,,4,52,"2,696",8,4,259,,461,358,,,,3,,129,437,427,12,,,274,54,2,2,22,45,,68,,,9
Richmond,Virginia,5,"2,865",4,18,,8,29,4,3,73,8,12,19,,8,320,9,,79,909,2,7,4,1,515,275,,,3,12,3,1,2,24,4,2,8,254,141,7,6,26,12,22,19,8,,9
Rochester,New York,60,"40,748",6,26,8,9,171,73,6,"7,746",553,3,12,2,51,"3,909",,4,307,"15,685",18,927,32,7,"5,599","1,278",8,8,2,82,4,41,576,444,45,1,2,"1,777",663,5,6,109,478,4,59,9,19,34
